profile_id,question_id,answer
1,1,Playing cricket with friends during lunch break was always the highlight of my day
1,2,The library - it was my peaceful corner where I could read and think
1,3,I would spend time mentoring younger students and sharing career advice
1,4,Stay curious and never stop learning. The world is changing fast
1,5,"The book 'Sapiens' completely changed how I view human history"
1,6,Completing my first marathon was a personal achievement that taught me perseverance
1,7,I love photography and often go on weekend photo walks
1,8,"'Don't Stop Believin' by Journey always lifts my spirits"
1,9,It reminds me of my roots and helps me give back to the community
1,10,Absolutely! I would love to mentor and collaborate
2,1,Annual day celebrations were always memorable with all the performances
2,2,The school playground where we spent hours playing
2,3,I would attend classes and meet with my favorite teachers
2,4,Build strong relationships and focus on continuous learning
2,5,"The movie 'The Pursuit of Happyness' inspired me to never give up"
2,6,Starting my own business was a big achievement
2,7,I enjoy cooking and trying new recipes
2,8,"'Here Comes the Sun' by The Beatles"
2,9,It helps me reconnect with old friends and share experiences
2,10,Yes I would be happy to mentor students